"global_category","indicator_name","value","count","Not Specified.<br>“Quantification of the reference indicator will be based on national totals reported in the National Inventory Report by the European Union"," and may be updated due to methodological improvements to the GHG inventory.”","n/a","0.1645","1.82","10.572","2100","53.3","0.185","747","-2.2","0.02","0.093","0.15","0.213","0.229","12.44","139.15123","19.53","25.5","28.3","5.239","53.85","54158.92 kt CO2eq","69.641","8.307","8.379","874.6","9.445","Baseline year 2014: 26","062.18 GgCO2eq (without sinks)<br>Baseline year 1990: 34","043.49 GgCO2eq (without sinks)<br> Baseline year 2014: 19","664.51 GgCO2eq (with sinks) <br>Baseliine year  1990: 26","619.90 GgCO2eq (with sinks)","""Grenada’s net Greenhouse Gas (GHG) emissions in 2010 were estimated to be 216.9 GgCO2e""","""The value of the reference indicator will be reported in Australia’s domestic emissions projections reports and Biennial Transparency Reports under the Paris Agreement.  The value may be updated to reflect inventory recalculations resulting from continuous methodological improvements.  The current indicative value of the emissions budget is 4832 – 4764 mt C02-e"," corresponding to the 26 – 28 per cent target range"," as published in Australia’s emissions projections 2020.""","<p>""Total Emissions in Base Year: 44.9 Mt CO<sub>2</sub> eq (without LULUCF) and 43.4 Mt CO<sub>2</sub> eq (with LULUCF). These data will be updated on biennial basis through inventory submissions.""</p>","0.505 (energy sector) | 0.643 (total emissions) | 0.572 (net emissions considering carbon removal from forest)","12.271 (net emissions)","12.478 (total emissions)","37.5","52 Mt CO2-equivalents","6635","709.1MtCO2eq","“Not Specified. See Figure 1. Nationally Determined Contribution Targets.”","Not Specified","Not Specified in NDC. ""The reference indicator will be quantified on the basis of the total net emissions of greenhouse gases (GHG) in the reference year of 2005 reported in the “National Inventory of Anthropogenic Emissions by Sources and Removals by Sinks of Greenhouse Gases not controlled by the Montreal Protocol”. For reference purposes"," the level of emissions of greenhouse gases for the base year is registered in the current inventory as per the “Third National Communication from Brazil to the United Nations Framework Convention on Climate Change”"," submitted on 20 April 2016.""","Tonga emitted a total of 310.4 Gg of CO2-equivalent in 2006"," with the Energy sector accounting for 39%","Total GHG emissions: 25.855 | Net GHG emissions: 25.118","GlobalScore"
"Mitigation","Emissions level in base year (MtCO2eq)","""Grenada’s net Greenhouse Gas (GHG) emissions in 2010 were estimated to be 216.9 GgCO2e""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emissions level in base year (MtCO2eq)","""The value of the reference indicator will be reported in Australia’s domestic emissions projections reports and Biennial Transparency Reports under the Paris Agreement.  The value may be updated to reflect inventory recalculations resulting from continuous methodological improvements.  The current indicative value of the emissions budget is 4832 – 4764 mt C02-e, corresponding to the 26 – 28 per cent target range, as published in Australia’s emissions projections 2020.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Emissions level in base year (MtCO2eq)","<p>""Total Emissions in Base Year: 44.9 Mt CO<sub>2</sub> eq (without LULUCF) and 43.4 Mt CO<sub>2</sub> eq (with LULUCF). These data will be updated on biennial basis through inventory submissions.""</p>",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emissions level in base year (MtCO2eq)","0.505 (energy sector) | 0.643 (total emissions) | 0.572 (net emissions considering carbon removal from forest)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emissions level in base year (MtCO2eq)","12.271 (net emissions)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emissions level in base year (MtCO2eq)","12.478 (total emissions)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emissions level in base year (MtCO2eq)","37.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emissions level in base year (MtCO2eq)","52 Mt CO2-equivalents",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emissions level in base year (MtCO2eq)","6635",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Mitigation","Emissions level in base year (MtCO2eq)","709.1MtCO2eq",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Mitigation","Emissions level in base year (MtCO2eq)","“Not Specified. See Figure 1. Nationally Determined Contribution Targets.”",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"Mitigation","Emissions level in base year (MtCO2eq)","Not Specified",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Mitigation","Emissions level in base year (MtCO2eq)","Not Specified in NDC. ""The reference indicator will be quantified on the basis of the total net emissions of greenhouse gases (GHG) in the reference year of 2005 reported in the “National Inventory of Anthropogenic Emissions by Sources and Removals by Sinks of Greenhouse Gases not controlled by the Montreal Protocol”. For reference purposes, the level of emissions of greenhouse gases for the base year is registered in the current inventory as per the “Third National Communication from Brazil to the United Nations Framework Convention on Climate Change”, submitted on 20 April 2016.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4
"Mitigation","Emissions level in base year (MtCO2eq)","Tonga emitted a total of 310.4 Gg of CO2-equivalent in 2006, with the Energy sector accounting for 39%",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
"Mitigation","Emissions level in base year (MtCO2eq)","Total GHG emissions: 25.855 | Net GHG emissions: 25.118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
